"","DATE","GDP","cpi","bond_yield","int_Rate","unemply_claims","avg_hours_worked","housing_permits","population_perc_change","unemployment_rate","perc_ch_GDP"
"16",1991-01-01,9275.276,5.73963244666667,8.01666666666667,1.48183333333333,471076.923076923,-1.5,850,0.30844,6.6,-0.46787
"17",1991-04-01,9347.597,5.17027897133333,8.13,2.24390625,455461.538461538,0.2,957,0.31925,6.83333333333333,0.77972
"18",1991-07-01,9394.834,4.53841279066667,7.94,2.27046875,424576.923076923,3.2,963.666666666667,0.3567,6.86666666666667,0.50534
"19",1991-10-01,9427.581,4.34906428633333,7.34666666666667,2.4941935483871,439942.307692308,1.4,1012,0.34257,7.1,0.34856
"20",1992-01-01,9540.444,3.979536828,7.30333333333333,3.24661290322581,439096.153846154,0.7,1101.66666666667,0.29418,7.36666666666667,1.19716
"21",1992-04-01,9643.893,3.963748338,7.37666666666667,3.54619047619048,419211.538461538,0.8,1055.66666666667,0.33427,7.6,1.08432
"22",1992-07-01,9739.185,3.59775335433333,6.61666666666667,3.29859375,421557.692307692,-2.3,1092.66666666667,0.36903,7.63333333333333,0.98811
"23",1992-10-01,9840.753,3.600627378,6.74333333333333,3.67774193548387,371288.461538462,2.5,1142,0.34617,7.36666666666667,1.04288
"24",1993-01-01,9857.185,3.49372768933333,6.28,3.16114754098361,342038.461538462,2,1127,0.29529,7.13333333333333,0.16698
"25",1993-04-01,9914.565,3.519012285,5.99,2.96349206349206,348057.692307692,1.1,1115.33333333333,0.30369,7.06666666666667,0.58211
"26",1993-07-01,9961.873,3.53860802766667,5.61666666666667,2.52171875,344134.615384615,0.8,1218.33333333333,0.3419,6.8,0.47716
"27",1993-10-01,10097.362,3.47875655833333,5.60666666666667,2.62306451612903,342461.538461538,0.4,1368.33333333333,0.31925,6.63333333333333,1.36008
"28",1994-01-01,10195.338,3.46262016966667,6.06666666666667,2.84032258064516,346673.076923077,1.7,1333.66666666667,0.26879,6.56666666666667,0.97031
"29",1994-04-01,10333.495,3.26990293,7.08333333333333,3.12016129032258,346192.307692308,2.6,1381.66666666667,0.29399,6.2,1.3551
"30",1994-07-01,10393.898,3.27725268033333,7.33333333333333,2.81203125,338134.615384615,0.2,1374.66666666667,0.32292,6,0.58454
"31",1994-10-01,10512.962,3.078830897,7.83666666666667,2.65688524590164,328982.142857143,1.3,1377.66666666667,0.30634,5.63333333333333,1.14552
"32",1995-01-01,10550.251,3.16128783633333,7.48333333333333,1.63370967741935,334791.666666667,-1.4,1254,0.26825,5.46666666666667,0.3547
"33",1995-04-01,10581.723,3.345822733,6.62,0.57984126984127,358076.923076923,-4.8,1278.33333333333,0.28386,5.66666666666667,0.29831
"34",1995-07-01,10671.738,3.34195496733333,6.32333333333333,0.517619047619048,364607.142857143,1.1,1387,0.32276,5.66666666666667,0.85066
"35",1995-10-01,10744.203,3.423972632,5.89333333333333,0.146451612903226,369711.538461538,-0.4,1424,0.30699,5.56666666666667,0.67904
"36",1996-01-01,10824.674,3.24119149933333,5.91,0.512096774193548,375596.153846154,-4.8,1414.66666666667,0.24905,5.53333333333333,0.74897
